,댓글
262,Damn Berry Looking wow here 🙄❤😊😋💕
263,언니 ♡ 진짜 팅커벨 같애 ♡ 어제 처음 밨는데 언닌 아무거나 다 어울림
264,Hi baby😍
265,Oh wow you are an Angel after all 😍😍😍 you look amazing ❤️
266,😇😍
267,My angel 🙌❤️❤️
268,진짜 이쁘다....
269,did it hurt? when you fell from heaven?
270,와아아아아!!! 대박이다 ❤️🔥 너무 좋아해
271,터져서 멘붕왔던 1인....ㅠㅠ
272,Hood
273,So that's why call it Heaven. 🤔❤️
274,😳😳😳😳
275,So lovely and amazing young lady sweet berry
276,My dream is to take cute pics with Berry 😳👉🏻👈🏻
277,"I love when you show your booty berry, it’s a very nice size 👏"
278,하 시부레 ㄹㅈㄷ
279,"Sexy bb❤️❤️, us need more sexy body. 🔥🔥"
280,😆
281,💖
282,"Sexy picture, finally! Nice view! Wait there! Show the other side next time! Good way to end the week 🙃"
283,어우 눈나..❤️❤️❤️❤️
284,🔥🔥🔥🔥🔥🔥🔥🔥omg so sexxxxy
285,Wow 🤤♥️
286,You are a Queen
287,😍 말이 않나와 .... ♡
288,@yuxuan8512 愛嗎
289,미츠리 코스프레 사진 내리신건가요? 아쉽습니다.ㅠ
290,😍❤️
291,❤️❤️❤️ cute and beautiful
292,Id love to be the yin to your yang in this instance
293,Imagining berry vibin in my heart 😍❤️
294,이 사진 레전드네요
295,나올때 힘드셨겠다❤️
296,"너무 재밌기도 재밌었지만 오징어 게임속 캐릭터로 변장한 빛베리님도 변함없이 너무너무 예쁘셔서 그저 완벽하더라구요😍❤️❤️ 미모도, 머리부터 발끝까지도, 패션도😍"
297,Cool 😎
298,I have the same shoes 😀
299,Nice
300,이거슨 총을 맞는건지 전기의자에 앉은건지...헷갈린다요
301,@benben_0916 看到到最後
302,ㅋㅋㅋㅋㅋ화장너무 똑같은거 아니냐구
303,이번에 역대급인거 같은데 싱크로율이나 화장 방송 다 잘 봤어요!!
304,왜 라이크를 하나 밖에 줄 수 없는 것인가😍😍😍
305,@fish7373_687 wml
306,sorry you die 😂😂😂
307,❤️why same?
308,ㅋㅋㅋ
309,"뭐꼬,. 베리 똥손이였네"
310,Very good Cosplay ❤️👍
311,😂😂😂😂
312,LMAO
313,와 이걸 따라하시다니@ㅋㅋㅋㅋㅋㅋㅋ
314,😂😂😂
315,😂😂😂😂
316,@teddy0985
317,@eden8571191
318,You are sexy everything you do😍😍
319,"wth is that, and why it's so scary! 😥"
320,🤣❤️
321,Hilarious 😂
322,this is so disturbing hahahaha
323,@exist._.0712 이거나 보셈
324,오 ㅋㅋㅋ 베새벽
325,"Why you are so adorable , berry? ❤️❤️❤️"
326,Loool amazing performance 👏
327,😍👏👏💖
328,haha 😍😍😍
329,@liao_h_j 優化升級
